total_population,rural_population,urban_population,code,state,district,total,rural,urban
342337,241831,100506,475,GUJARAT,SURENDRANAGAR,0.1136307206,0.1476237538,0.03183889519
1494656,228886,1265770,474,GUJARAT,AHMADABAD,0.04174873683,0.1009236039,0.03104829471
700852,358811,342041,614,TAMILNADU,TIRUCHIRAPPALLI,0.03895258913,0.04654260878,0.03099043682
16655,13400,3255,269,NAGALAND,KIPHIRE,0.624437106,0.7686567164,0.03072196621
322700,137051,185649,60,UTTARAKHAND,DEHRADUN,0.1081499845,0.2130593721,0.03070310101
122039,109005,13034,487,GUJARAT,NARMADA,3.207990888,3.587908812,0.03068896732
444761,285991,158770,468,GUJARAT,KACHCHH,0.08701302497,0.1185351987,0.03023241166
477757,284156,193601,609,TAMILNADU,NAMAKKAL,0.08205007985,0.117541069,0.02995852294
454073,213390,240683,37,PUNJAB,JALANDHAR,0.06452706944,0.1035662402,0.02991486727
132854,96022,36832,51,PUNJAB,ROOPNAGAR,0.07075436193,0.0864385245,0.02986533449
110236,42651,67585,69,HARYANA,PANCHKULA,0.6331869807,1.589646198,0.02959236517
29407,22412,6995,259,ARUNACHAL PRADESH,Lohit,0.1360220356,0.1695520257,0.02859185132
1299670,263433,1036237,492,GUJARAT,SURAT,0.03185423992,0.04479317322,0.02856489394
183400,134340,49060,83,HARYANA,JHAJJAR,0.09269356598,0.1161232693,0.02853648594
658734,324097,334637,610,TAMILNADU,ERODE,0.09047658084,0.15458335,0.02838897074
700706,283140,417566,633,TAMILNADU,TIRUPPUR,0.09276358416,0.1878929152,0.02825900576
446746,378617,68129,484,GUJARAT,PANCH MAHALS,0.1360952308,0.155566179,0.02788827078
7197,-,7197,636,PUDUCHERRY,MAHE,0.02778935668,-,0.02778935668
124769,63553,61216,478,GUJARAT,PORBANDAR,0.339026521,0.6388368763,0.02777051751
88878,81670,7208,5,JAMMU & KASHMIR,PUNCH,0.2655325277,0.2865189176,0.02774694784
553722,2254,551468,98,NCT OF DELHI,SOUTH DELHI,0.02763119399,0,0.02774413021
287848,168830,119018,613,TAMILNADU,KARUR,0.04828937495,0.06337736184,0.02688668941
1106567,-,1106567,603,TAMILNADU,CHENNAI,0.02674939701,-,0.02674939701
115753,77684,38069,40,PUNJAB,FATEHGARH SAHIB,0.04578715023,0.05535245353,0.02626809215
366059,339174,26885,125,RAJASTHAN,BANSWARA,0.8260963397,0.8895139368,0.02603682351
150287,124874,25413,319,ASSAM,BONGAIGAON,0.2155875092,0.1903025544,0.02528495479
61122,32212,28910,244,SIKKIM,EAST SIKKIM,0.2699518995,0.4905004346,0.02421307506
328871,261513,67358,100,RAJASTHAN,HANUMANGARH,0.2909955575,0.3598291481,0.0237536744
197101,82601,114500,52,PUNJAB,SAHIBZADA AJIT SINGH NAGAR (MOHALI),0.06798544908,0.1295383833,0.02358078603
123353,97237,26116,31,HIMACHAL PRADESH,SOLAN,0.05026225548,0.05759124613,0.02297442181
335098,217028,118070,488,GUJARAT,BHARUCH,0.06774137715,0.09261477782,0.0220208351
605074,391191,213883,620,TAMILNADU,THANJAVUR,0.03024423459,0.034765626,0.02197463099
880121,418851,461270,486,GUJARAT,VADODARA,0.2915508209,0.5885147702,0.02189606955
37891,32889,5002,266,NAGLAND,PHEK,0.04486553535,0.0486484843,0.0199920032
20474,15387,5087,250,ARUNACHAL PRADESH,West Siang,6.569307414,8.73464613,0.01965795164
165336,106870,58466,36,PUNJAB,KAPURTHALA,0.09556297479,0.1375502948,0.01881435364
269174,210593,58581,470,GUJARAT,PATAN,0.1218542653,0.1505273205,0.0187774193
30385,0,30385,94,NCT OF DELHI,NEW DELHI,0.01645548791,7,0.01645548791
149401,124419,24982,615,TAMILNADU,PERAMBALUR,0.04618442982,0.05224282465,0.0160115283
12580,6309,6271,285,MIZORAM,SERCHHIP,0.01589825119,0.01585037248,0.01594642003
179391,126220,53171,72,HARYANA,KURUKSHETRA,0.0362337018,0.04515924576,0.01504579564
57090,23485,33605,640,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN (ANDAMAN),0.04729374672,0.09367681499,0.01487873828
32617,18748,13869,286,MIZORAM,LUNGLEI,1.554404145,2.693620653,0.01442065037
176094,141266,34828,78,HARYANA,FATEHABAD,0.2345338285,0.288816842,0.01435626507
219994,204051,15943,27,HIMACHAL PRADESH,MANDI,0.05954707856,0.06321948925,0.01254469046
205119,180494,24625,529,MAHARASHTRA,SINDHUDURG,0.1608822196,0.1811694572,0.01218274112
207621,190362,17259,464,MADHYA PRADESH,JHABUA,0.06598561803,0.07091751505,0.0115881569
49692,7340,42352,495,DAMAN AND DIU,DAMAN,0.01408677453,0.0408719346,0.009444654326
95545,84501,11044,26,HIMACHAL PRADESH,KULLU,0.04709822597,0.0520703897,0.00905469033
294176,203615,90561,490,GUJARAT,NAVSARI,0.0231154139,0.02946737716,0.008833824715
13308,-,13308,634,PUDUCHERRY,YANAM,0.007514277127,-,0.007514277127
354385,827,353558,93,NCT OF DELHI,EAST DELHI,0.006772295667,0,0.0067881366
50068,25858,24210,637,PUDUCHERRY,KARAIKAL,0.01997283694,0.03480547606,0.004130524577
73063,35408,37655,496,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,0.02737363645,0.05366018979,0.002655689815
230703,69275,161428,635,PUDUCHERRY,PUDUCHERRY (PONDICHERRY),0.007368781507,0.01876578852,0.002477884877
4180,4060,120,260,ARUNACHAL,Anjaw,24.28229665,25,0
1871,1297,574,257,ARUNACHAL PRADESH,Dibang Valley,11.38428648,16.42251349,0
15962,15417,545,256,ARUNACHAL PRADESH,Kurung Kumey,5.444179927,5.636634884,0
9477,7891,1586,245,ARUNACHAL PRADESH,Tawang,1.255671626,1.508047142,0
54792,49914,4878,20,JAMMU & KASHMIR,REASI,0.5438750183,0.5970268862,0
33269,27028,6241,264,NAGLAND,WOKHA,0.4839339926,0.5956785556,0
53492,51064,2428,58,UTTARAKHAND,RUDRAPRAYAG,0.519703881,0.544414852,0
54206,52261,1945,17,JAMMU & KASHMIR,RAMBAN,0.3615835885,0.3750406613,0
15134,12066,3068,255,ARUNACHAL PRADESH,Lower Subansiri,0.1123298533,0.140891762,0
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
236496,190576,45920,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
-,-,-,,,,,,
