total_population,rural_population,urban_population,code,state,district,total,rural,urban
300052,194695,105357,67,UTTARAKHAND,UDHAM SINGH NAGAR,0.2159625665,0.2039086777,0.2382376112
784739,520831,263908,135,UTTAR PRADESH,MORADABAD,0.7457256489,1.003204494,0.237582794
251018,239500,11518,351,JHARKHAND,GODDA,0.5421921934,0.556993737,0.2344156972
534254,506922,27332,173,UTTAR PRADESH,PRATAPGARH,0.3934458142,0.402034238,0.2341577638
278738,232517,46221,160,UTTAR PRADESH,KANNAUJ,1.111796741,1.286357557,0.2336600247
380013,366656,13357,225,BIHAR,BANKA,0.559454545,0.5713802583,0.2320880437
224517,193809,30708,352,JHARKHAND,SAHIBGANJ,0.4645527956,0.501524697,0.2312101081
567717,514291,53426,176,UTTAR PRADESH,BARABANKI,0.8886469843,0.9572401617,0.2283532363
524961,485939,39022,195,UTTAR PRADESH,GHAZIPUR,0.516990786,0.5401912586,0.2280764697
358220,214711,143509,166,UTTAR PRADESH,JHANSI,0.4156663503,0.5421240644,0.2264666328
857276,692542,164734,549,ANDHRA PRADESH,PRAKASAM,0.2239652107,0.2239575361,0.2239974747
107727,103239,4488,391,ODISHA,BAUDH,0.262701087,0.2644349519,0.2228163993
695366,559062,136304,188,UTTAR PRADESH,GORAKHPUR,0.2805716702,0.2949583409,0.2215635638
681387,481057,200330,133,UTTAR PRADESH,MUZAFFARNAGAR,0.2938124737,0.3242858954,0.2206359507
259914,204968,54946,144,UTTAR PRADESH,HATHRAS (earlier MAHAMAYA NAGAR),0.3782020207,0.4205534522,0.2202162123
388116,318563,69553,514,MAHARASHTRA,JALNA,0.1963330551,0.1911709772,0.2199761333
898553,696236,202317,175,UTTAR PRADESH,ALLAHABAD,0.385063541,0.4330428188,0.2199518577
276393,254926,21467,174,UTTAR PRADESH,KAUSHAMBI,0.4041346923,0.419729647,0.2189406997
308056,239285,68771,159,UTTAR PRADESH,FARRUKHABAD,0.6450125951,0.7681216959,0.2166610926
301227,252871,48356,360,JHARKHAND,HAZARIBAGH,0.3356272844,0.3586809084,0.2150715527
627925,595287,32638,179,UTTAR PRADESH,SULTANPUR,0.3393717403,0.3463875408,0.2114100129
821148,291529,529619,164,UTTAR PRADESH,KANPUR NAGAR,0.4492491,0.881558953,0.2112839607
708065,635151,72914,203,BIHAR,PASHCHIM CHAMPARAN,0.4495350003,0.4768944708,0.2112077242
24208,21836,2372,295,MEGHALAYA,SOUTH GARO HILLS,2.18935889,2.404286499,0.2107925801
360186,256063,104123,513,MAHARASHTRA,PARBHANI,0.1943440334,0.1882349266,0.209367767
295922,249585,46337,384,ODISHA,ANGUL,0.3375889593,0.3613999239,0.2093359518
124000,117183,6817,6,JAMMU & KASHMIR,RAJOURI,0.3233870968,0.3302526817,0.2053689306
455878,387316,68562,234,BIHAR,ROHTAS,0.6058638495,0.6769666112,0.2041947434
219685,187958,31727,198,UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),0.4278853813,0.4660615669,0.2017209317
567491,475335,92156,156,UTTAR PRADESH,UNNAO,0.7071477786,0.8053267695,0.2007465602
733083,696184,36899,206,BIHAR,SITAMARHI,0.4160511156,0.4274731967,0.2005474403
159947,151921,8026,394,ODISHA,NUAPADA,0.707734437,0.734592321,0.1993521057
353066,60315,292751,88,HARYANA,FARIDABAD,0.2129913387,0.2835115643,0.1984621743
